Sıra  | Oyuncu Adı                     | LP     | Main Şampiyon
---------------------------------------------------------------------------
1     | Avalanche#TRdog                | 2136   | Lux
2     | marjua#merx                    | 2121   | Hecarim
3     | mxch1n3#1790                   | 1866   | Janna
4     | Ucka#God                       | 1797   | Zeri
5     | Leansy#TR2                     | 1622   | Ezreal
6     | Diluc#モラン                      | 1620   | Fiora
7     | Clavar la Espada#5151          | 1608   | Darius
8     | sharingan eyez#333             | 1580   | Kai'Sa
9     | ColdPalmer#TR2                 | 1570   | Draven
10    | ladriv#001                     | 1565   | Camille
11    | selfmade#531                   | 1539   | Graves
12    | forty seven#47X                | 1403   | Akali
13    | Wistaria#1107                  | 1401   | Fiora
14    | mxcxhxx#xxx                    | 1388   | Talon
15    | ash#lost                       | 1387   | Nidalee
16    | 괴수 8호#0930                     | 1371   | Fizz
17    | Memories#TOKİO                 | 1368   | Qiyana
18    | luciddrxam#xxxx                | 1325   | Talon
19    | Deniz#2025                     | 1281   | Lucian
20    | mpd n xtc#422mg                | 1276   | Fiora
21    | adeline#789                    | 1239   | Nami
22    | Puca#ali                       | 1237   | Hecarim
23    | Jaquen#TR2                     | 1217   | Kassadin
24    | Reaix#00011                    | 1209   | Sylas
25    | Pavard#666                     | 1207   | Kennen
26    | ClutchNツ#0000                  | 1207   | Zoe
27    | HIGAN 此岸#答えは沈黙                 | 1202   | Bard
28    | Humble Zeref#1007              | 1200   | Ekko
29    | Alex Mercer#1v9                | 1179   | Talon
30    | Yavuzmacun#2412                | 1149   | Graves
31    | Violent#733                    | 1139   | Akshan
32    | SONMENZİL#TR1                  | 1120   | Jhin
33    | Runa#emo                       | 1108   | Lux
34    | ZOR YARIŞIRLAR#1818            | 1106   | Jinx
35    | Yui#S0RA                       | 1101   | Vayne
36    | kanami#dream                   | 1096   | Lux
37    | Vecta#0001                     | 1088   | Katarina
38    | bok tv mensubu#messi           | 1083   | Yasuo
39    | kia sama#0843                  | 1068   | Lucian
40    | Eloha#111                      | 1054   | Tristana
41    | dueno#sxru                     | 1044   | Diana
42    | Arvem#2407                     | 1034   | Lux
