Avalanche#TRdog, 2136, Destek, Poke / Mage
marjua#merx, 2121, Orman, Skirmisher / Engage
mxch1n3#1790, 1866, Destek, Enchanter / Disengage
Ucka#God, 1797, Nisanci (ADC), Hypercarry / Mobile
Leansy#TR2, 1622, Nisanci (ADC), Poke / Mobile
Diluc#モラン, 1620, Ust Koridor, Duelist / Splitpush
Clavar la Espada#5151, 1608, Ust Koridor, Lane Bully / Juggernaut
sharingan eyez#333, 1580, Nisanci (ADC), Assassin / Hypercarry
ColdPalmer#TR2, 1570, Nisanci (ADC), Lane Bully / Snowball
ladriv#001, 1565, Ust Koridor, Duelist / Diver
selfmade#531, 1539, Orman, Skirmisher / Carry
forty seven#47X, 1403, Orta Koridor, Assassin / Mobile
Wistaria#1107, 1401, Ust Koridor, Duelist / Splitpush
mxcxhxx#xxx, 1388, Orta Koridor, Assassin / Roam
ash#lost, 1387, Orman, Assassin / Poke
괴수 8호#0930, 1371, Orta Koridor, Assassin / Burst
Memories#TOKİO, 1368, Orta Koridor, Assassin / AD Burst
luciddrxam#xxxx, 1325, Orta Koridor, Assassin / Roam
Deniz#2025, 1281, Nisanci (ADC), Lane Bully / Burst
mpd n xtc#422mg, 1276, Ust Koridor, Duelist / Splitpush
adeline#789, 1239, Destek, Enchanter / Engage
Puca#ali, 1237, Orman, Skirmisher / Engage
Jaquen#TR2, 1217, Orta Koridor, Scaling / Mage
Reaix#00011, 1209, Orta Koridor, Skirmisher / Magic
Pavard#666, 1207, Ust Koridor, Teamfight / Engage
ClutchNツ#0000, 1207, Orta Koridor, Poke / Burst
HIGAN 此岸#答えは沈黙, 1202, Destek, Roam / Utility
Humble Zeref#1007, 1200, Orman, Assassin / Diver
Alex Mercer#1v9, 1179, Orta Koridor, Assassin / Roam
Yavuzmacun#2412, 1149, Orman, Skirmisher / Carry
Violent#733, 1139, Orta Koridor, Marksman / Roam
SONMENZİL#TR1, 1120, Nisanci (ADC), Utility / Sniper
Runa#emo, 1108, Destek, Poke / Mage
ZOR YARIŞIRLAR#1818, 1106, Nisanci (ADC), Hypercarry / Reset
Yui#S0RA, 1101, Nisanci (ADC), Hypercarry / Tank Buster
kanami#dream, 1096, Destek, Poke / Mage
Vecta#0001, 1088, Orta Koridor, Assassin / Reset
bok tv mensubu#messi, 1083, Orta Koridor, Skirmisher / Critical
kia sama#0843, 1068, Nisanci (ADC), Lane Bully / Burst
Eloha#111, 1054, Nisanci (ADC), Hypercarry / Siege
dueno#sxru, 1044, Orman, Assassin / Diver
Arvem#2407, 1034, Destek, Poke / Mage
Apolyo#3672, 1033, Orta Koridor, Mage / Mobile
gitme bebe#777, 1033, Destek, Roam / Utility
Kira#sss1, 1030, Orman, Skirmisher / Reset
KOKO#DEG, 1028, Ust Koridor, Juggernaut / Magic
InsertIn#TR1, 1022, Nisanci (ADC), Poke / Mobile
carnyx#4444, 1021, Nisanci (ADC), Utility / Sniper
Lotus#Nera, 1017, Orta Koridor, Assassin / Mage
Old Faker#9102, 1016, Destek, Poke / True Damage
Uyuttuğum adama#VURMA, 1016, Orta Koridor, Poke / Burst
Solarcix#REAL, 1015, Orman, Playmaker / Skirmisher
gerizekali mal#hzrn, 1015, Orta Koridor, Assassin / AD Burst
Diass#Aks, 1011, Ust Koridor, Splitpush / Duelist
yy mb we 15#dlra, 1010, Orman, Skirmisher / Reset
mein kmpf#888, 1006, Orta Koridor, Assassin / Mobile
itsdripbaby#111, 1003, Nisanci (ADC), Lane Bully / Snowball
Muteki#fool, 997, Orta Koridor, Scaling / Control Mage
kaka kafa calimi#meto, 996, Nisanci (ADC), Hypercarry / Stealth
Rakan God#Rakan, 991, Destek, Engage / Playmaker
why u mad#god, 990, Orman, Hypercarry / Skirmisher
Coverit#TOXIC, 984, Orman, Power Farm / Mage
HÖÖÖÖÖÖÖÖÖÖÖÖ#Swain, 973, Destek, Sustain / Mage
Sw4q#1734, 959, Nisanci (ADC), Sniper / Trap
TEHLİKELİ KEDİ#Yavuz, 955, Nisanci (ADC), Sniper / Trap
ŞAMPİYONLUK 1 #TR1, 951, Orman, Tank / Disengage
